OBJECTID,GLOBAL_ID,REMARKS,FREQ_TRANS,FREQ_REC,FREQ_UOM,TYPE_CODE,SERVICE_ID,FREQ_ALT,FREQ_USAGE,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
2173,4C633E6E-EEA3-47DB-87A3-5FC9F6170E14,,123.975,123.975,,,A7E42D98-227E-4837-BD8C-44A5B3A80A28,1,BLANK,0,0,1,1,0,0
2174,E152C94F-53FB-4994-A622-229C41D907BA,,128.75,128.75,,,A7E42D98-227E-4837-BD8C-44A5B3A80A28,0,BLANK,0,0,1,1,0,0
2175,C13B612F-F331-477B-BC70-27ED60401104,,290.4,290.4,,,A7E42D98-227E-4837-BD8C-44A5B3A80A28,0,BLANK,0,0,1,1,0,0
2176,CC08E60D-DC46-4A36-9724-C52F324D0053,,346.3,346.3,,,A7E42D98-227E-4837-BD8C-44A5B3A80A28,0,BLANK,0,0,1,1,0,0
2177,4E8649CC-0E2C-45EC-8082-C05C33992F47,,125.475,125.475,,,8C3C4F9E-E402-4511-93F2-4DFF4E8200E2,0,BLANK,0,0,1,0,0,0
2178,28572DC2-CF45-40A2-A9F5-B90453E7FF26,,132.35,132.35,,,29F9846E-D741-4192-8CC0-F5ACAC63C65B,0,BLANK,0,0,1,0,0,0
2179,DF2C45CF-7E16-4241-8FE9-6BACC2569A7D,,307.3,307.3,,,29F9846E-D741-4192-8CC0-F5ACAC63C65B,0,BLANK,0,0,1,0,0,0
2180,A7504E78-81EB-4BFB-AF0A-246A2A9B53B5,,134.75,134.75,,,49182299-599E-42D5-8266-52A079E02CD7,0,BLANK,0,0,1,0,0,0
2181,9D9DE188-3D8F-4A97-86C1-B682C8B788C4,,251.1,251.1,,,49182299-599E-42D5-8266-52A079E02CD7,0,BLANK,0,0,1,0,0,0
2182,28C87729-E292-4D11-8ABB-C12DDE545052,,119.725,119.725,,,FDB6CAC0-9868-4991-ACEC-4C84E96288F9,1,BLANK,0,0,1,1,0,0
2183,17F99F67-1D31-4C78-A009-35BEAE942BA9,,363.1,363.1,,,FDB6CAC0-9868-4991-ACEC-4C84E96288F9,1,BLANK,0,0,1,1,0,0
2184,6D8E2986-67F5-47F3-BCB6-B9AD59DBADAF,,132.05,132.05,,,08CAEA99-BB6F-45EB-B618-4AC0D868DECC,0,BLANK,0,0,1,0,0,0
2185,212C91D0-39BC-436E-B0C7-69F88DC2752F,,317.4,317.4,,,08CAEA99-BB6F-45EB-B618-4AC0D868DECC,0,BLANK,0,0,1,0,0,0
2186,83398724-59A3-44A1-BBED-BEFE0514DDFC,,134.85,134.85,,,BDCDF906-703D-4FAA-9450-56B9B6757F53,0,BLANK,0,0,1,1,0,0
2187,CE895246-072C-4D80-BB67-2068CE67B6A7,,135.7,135.7,,,BDCDF906-703D-4FAA-9450-56B9B6757F53,1,BLANK,0,0,1,1,0,0
2188,B8CE2D1E-CE52-4F5D-BFD4-AD22615421A0,,307.9,307.9,,,BDCDF906-703D-4FAA-9450-56B9B6757F53,1,BLANK,0,0,1,1,0,0
2189,A9CC340E-DB54-4DE9-8A0D-B48A27A84EB7,,352,352,,,BDCDF906-703D-4FAA-9450-56B9B6757F53,0,BLANK,0,0,1,1,0,0
2190,BA042BF9-0785-46DA-B8B3-02A023A9D13A,,132.9,132.9,,,96EEA632-3A87-4965-B49D-64EE524173A9,0,BLANK,0,0,1,0,0,0
2191,15B3951D-5287-401E-9709-BA1A85230CC5,,243,243,,,96EEA632-3A87-4965-B49D-64EE524173A9,2,BLANK,0,0,1,0,0,0
2192,CFE318B5-4C7A-4329-A11F-9FBB5ED8C624,,317.45,317.45,,,96EEA632-3A87-4965-B49D-64EE524173A9,1,BLANK,0,0,1,0,0,0
2193,0C13CEE2-B9F1-4E19-93E0-6458F424F928,,338.3,338.3,,,96EEA632-3A87-4965-B49D-64EE524173A9,0,BLANK,0,0,1,0,0,0
2194,3E2E7D1E-8070-4D8B-BCED-9A23F2C91EFC,,128.5,128.5,,,812EC64D-53F2-47C0-A185-827FD8FEA614,0,BLANK,0,0,1,0,0,0
2195,A666F996-C8C3-416E-B7E6-E1F75B42C035,,306.2,306.2,,,812EC64D-53F2-47C0-A185-827FD8FEA614,0,BLANK,0,0,1,0,0,0
2196,6CC4972D-7E4B-498A-81C0-544AD79A3B70,,298.9,298.9,,,9117C6DA-04C8-4425-A1FA-3DFAE0F256CB,1,BLANK,0,0,1,0,0,0
2197,6B694343-1C60-468E-B23C-4983A52AF595,,121.325,121.325,,,1EA4FC55-2599-4094-8589-0701A7B978EB,1,BLANK,0,0,1,0,0,0
2198,38D2932D-2200-47A5-89C0-1619C99DC306,,123.625,123.625,,,1EA4FC55-2599-4094-8589-0701A7B978EB,0,BLANK,0,0,1,0,0,0
2199,28482F10-4814-4E0E-A604-2B24B47E2550,,257.85,257.85,,,D545559E-D102-427A-AE38-6C4B66253AC4,1,BLANK,0,0,1,1,0,0
2200,2A6EA914-22C0-4960-9830-EAD9DFB53109,,281.5,281.5,,,D545559E-D102-427A-AE38-6C4B66253AC4,1,BLANK,0,0,1,1,0,0
2201,51D06F97-354F-49CD-A8B9-A93BD97DAC49,,284.6,284.6,,,D545559E-D102-427A-AE38-6C4B66253AC4,0,BLANK,0,0,1,1,0,0
2202,1DCCE685-6723-4BF2-ACFC-08B4371E9E24,,296.7,296.7,,,D545559E-D102-427A-AE38-6C4B66253AC4,2,BLANK,0,0,1,1,0,0
2203,CA736EE1-A9C5-48A4-B211-B26D878AECA5,,316.1,316.1,,,D545559E-D102-427A-AE38-6C4B66253AC4,0,BLANK,0,0,1,1,0,0
2204,E9E2E386-EB5C-404E-85F9-01D888B6A174,,322.55,322.55,,,D545559E-D102-427A-AE38-6C4B66253AC4,0,BLANK,0,0,1,1,0,0
2205,3DACB944-17A9-4814-9B16-CB5603893F9B,,327,327,,,D545559E-D102-427A-AE38-6C4B66253AC4,0,BLANK,0,0,1,1,0,0
2206,13D19F72-45DB-4D49-AC01-6C43A793A49A,,125.75,125.75,,,1413A9A9-FD8B-489C-8EC1-B43B9CA7EE6C,0,BLANK,0,0,1,0,0,0
2207,64BF5561-38DC-43BC-B766-4768E04765B2,,284.65,284.65,,,1413A9A9-FD8B-489C-8EC1-B43B9CA7EE6C,0,BLANK,0,0,1,0,0,0
2208,68659CE0-92E0-44BD-A37C-A1C50DBF29B2,,121.5,121.5,,,BDC5BA59-6141-466A-9AA8-5CDFF3827F60,2,BLANK,0,0,1,1,0,0
2209,908A954E-80D1-4B49-8853-E35420838A33,,128.8,128.8,,,BDC5BA59-6141-466A-9AA8-5CDFF3827F60,0,BLANK,0,0,1,1,0,0
2210,80E8B879-3AE5-4C58-B178-2CAAF6C3CD98,,134.45,134.45,,,BDC5BA59-6141-466A-9AA8-5CDFF3827F60,1,BLANK,0,0,1,1,0,0
