OBJECTID,GLOBAL_ID,AIRPORT_ID,DESIGNATOR,LENGTH,WIDTH,DIM_UOM,COMP_CODE,LIGHTACTV,LIGHTINTNS,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,Shape__Area,Shape__Length
3780,D7C2349F-5FF2-4863-9093-5CBD9C1DA994,5D7116F7-5CF3-406A-B66C-F45DD2D98623,H1,60,60,FT,GRASS,,,0,0,0,0,0,0,3.13184500555508e-08,0.000709626000065478
3781,2A1D5022-D56F-4FBE-B36B-63F56F801AE6,E2E20781-927D-4930-B08E-27A9C0FE0984,08/26,10000,150,FT,CONC,0,LIH,0,0,1,1,1,0,1.30941232328041e-05,0.0634536493447501
3782,C856A956-781A-4A04-A7B1-13AC7B76AE2D,E2E20781-927D-4930-B08E-27A9C0FE0984,14/32,7701,150,FT,CONC,0,LIH,0,0,1,1,1,0,1.00821650903526e-05,0.0471216783629618
3783,D328E928-68B6-45A1-81B1-FD708A4383DC,6E824E65-BDA8-4513-9E0D-5CAFD71C7C0A,H1,150,100,FT,CONC,,,0,0,0,0,0,0,1.3069939086563e-07,0.0014586589999238
3784,104AEFBF-2EF0-4CE4-ABDB-D23DA058536F,255EA8AA-BDB6-438D-96D2-E0D4F3EB945A,18/36,6425,60,FT,ASPH,3,OTHER,0,0,1,1,1,0,3.35649428961915e-06,0.0357267435952874
3785,E9BC9005-9A4A-442C-B6C4-166048BD8962,47E26404-FBFA-4B02-9890-BB929C41E0EC,09L/27R,4439,200,FT,CONC+ASPH,2,,0,0,1,1,1,0,7.72752264310839e-06,0.029204716278202
3786,B16BA643-B4A5-4DE2-A3AA-AF70E687AE4F,90C8DFC7-3967-473B-A55A-C171CBDCF8B5,09/27,2100,100,FT,GRASS,,,0,0,0,0,0,0,1.8419414118398e-06,0.0139492332035493
3787,F955D307-5025-40EA-8358-FA9C329999EF,2D9140C3-D42C-40EC-BB4E-7B47B1762817,18/36,2640,60,FT,ASPH,,,0,0,0,0,0,0,1.3877045148547e-06,0.0148991315306296
3788,20431FD7-D428-4B7F-87DB-1614391B0D22,4578B30E-BC61-43CF-A2D9-A2BECAB07D46,H1,50,50,FT,ASPH,0,OTHER,0,0,0,0,0,0,2.19233697862364e-08,0.000593900000012582
3789,D408442A-4849-4DE3-A4A9-243F39CBF6DA,F7D767F5-50FA-4DEA-A44C-00C0EC69B034,02/20,2900,200,FT,GRASS,0,OTHER,0,0,0,0,0,0,5.08163248014171e-06,0.017221110122005
